task_id,proj_id,wbs_id,clndr_id,phys_complete_pct,rev_fdbk_flag,est_wt,lock_plan_flag,auto_compute_act_flag,complete_pct_type,task_type,duration_type,status_code,task_code,task_name,rsrc_id,total_float_hr_cnt,free_float_hr_cnt,remain_drtn_hr_cnt,act_work_qty,remain_work_qty,target_work_qty,target_drtn_hr_cnt,target_equip_qty,act_equip_qty,remain_equip_qty,cstr_date,act_start_date,act_end_date,late_start_date,late_end_date,expect_end_date,early_start_date,early_end_date,restart_date,reend_date,target_start_date,target_end_date,rem_late_start_date,rem_late_end_date,cstr_type,priority_type,suspend_date,resume_date,float_path,float_path_order,guid,tmpl_guid,cstr_date2,cstr_type2,driving_path_flag,act_this_per_work_qty,act_this_per_equip_qty,external_early_start_date,external_late_end_date,create_date,update_date,create_user,update_user,location_id
141166,27164,54782,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,SCO1000,Bundling / Phasing of circuits for project sequencing,,0,0,80,0,0,0,80,0,0,0,2023-07-03 00:00,,,2023-07-03 08:00,2023-07-17 16:00,,2023-07-03 08:00,2023-07-17 16:00,2023-07-03 08:00,2023-07-17 16:00,2023-07-03 08:00,2023-07-17 16:00,2023-07-03 08:00,2023-07-17 16:00,CS_MSOA,PT_Normal,,,,,p/G9q1S7XU+OqCyxya5vIA,UJjuaNL6SEi7r5Yn69vahA,,,Y,0,0,,,2023-02-08 18:30,2023-02-08 18:31,NotPrmUser,NotPrmUser,
141167,27164,54782,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,SCO1010,Constructability Review,,0,0,40,0,0,0,40,0,0,0,,,,2023-07-18 08:00,2023-07-24 16:00,,2023-07-18 08:00,2023-07-24 16:00,2023-07-18 08:00,2023-07-24 16:00,2023-07-18 08:00,2023-07-24 16:00,2023-07-18 08:00,2023-07-24 16:00,,PT_Normal,,,,,ReeSZLqrAk2F8ze/A6S9Kw,CG/UvRRQ0kKwwXtUZSTJZA,,,Y,0,0,,,2023-02-08 18:30,2023-02-08 18:31,NotPrmUser,NotPrmUser,
141168,27164,54782,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,SCO1020,SDG&E Review,,0,0,16,0,0,0,16,0,0,0,,,,2023-07-25 08:00,2023-07-26 16:00,,2023-07-25 08:00,2023-07-26 16:00,2023-07-25 08:00,2023-07-26 16:00,2023-07-25 08:00,2023-07-26 16:00,2023-07-25 08:00,2023-07-26 16:00,,PT_Normal,,,,,SsGDh3RazE6nrVe5kBxrSA,wAXZeb3RvUWInuZ0vOWywQ,,,Y,0,0,,,2023-02-08 18:30,2023-02-08 18:31,NotPrmUser,NotPrmUser,
141169,27164,54783,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,PLA1000,Workorder Setup,,0,0,40,0,0,0,40,0,0,0,,,,2023-07-27 08:00,2023-08-02 16:00,,2023-07-27 08:00,2023-08-02 16:00,2023-07-27 08:00,2023-08-02 16:00,2023-07-27 08:00,2023-08-02 16:00,2023-07-27 08:00,2023-08-02 16:00,,PT_Normal,,,,,t4G25SBIQEWa16MhSCFHtg,2nQLorlKHUSlsyRyBzMwLg,,,Y,0,0,,,2023-02-08 18:30,2023-02-08 18:31,NotPrmUser,NotPrmUser,
141170,27164,54786,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,DES1040,10% Submittal,,0,0,200,0,0,0,200,0,0,0,,,,2023-10-12 08:00,2023-11-15 16:00,,2023-10-12 08:00,2023-11-15 16:00,2023-10-12 08:00,2023-11-15 16:00,2023-10-12 08:00,2023-11-15 16:00,2023-10-12 08:00,2023-11-15 16:00,,PT_Normal,,,,,lhUUbmmlz0qBlW6U2UJ5GQ,lkILpi3jsECEqBMIGWirgQ,,,Y,0,0,,,2023-02-08 18:30,2023-02-08 18:31,NotPrmUser,NotPrmUser,
141171,27164,54786,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,DES1050,30% Submittal,,0,0,400,0,0,0,400,0,0,0,,,,2023-11-16 08:00,2024-01-31 16:00,,2023-11-16 08:00,2024-01-31 16:00,2023-11-16 08:00,2024-01-31 16:00,2023-11-16 08:00,2024-01-31 16:00,2023-11-16 08:00,2024-01-31 16:00,,PT_Normal,,,,,9Jud0Zi0YUqGxndCJq1nFw,eyVqv558MEyC1wT4hwvUFQ,,,Y,0,0,,,2023-02-08 18:30,2023-02-08 18:31,NotPrmUser,NotPrmUser,
141172,27164,54786,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,DES1060,30% Review,,0,0,80,0,0,0,80,0,0,0,,,,2024-02-01 08:00,2024-02-14 16:00,,2024-02-01 08:00,2024-02-14 16:00,2024-02-01 08:00,2024-02-14 16:00,2024-02-01 08:00,2024-02-14 16:00,2024-02-01 08:00,2024-02-14 16:00,,PT_Normal,,,,,X0jcY4xucECL2PHOjdzm7Q,3/fAvhn7U0yLjm/7EvavKQ,,,Y,0,0,,,2023-02-08 18:30,2023-02-08 18:31,NotPrmUser,NotPrmUser,
141173,27164,54786,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,DES1070,60% Submittal (60 taking less tahn 30%),,600,0,560,0,0,0,560,0,0,0,,,,2024-05-30 08:00,2024-09-04 16:00,,2024-02-15 08:00,2024-05-22 16:00,2024-02-15 08:00,2024-05-22 16:00,2024-02-15 08:00,2024-05-22 16:00,2024-05-30 08:00,2024-09-04 16:00,,PT_Normal,,,,,Z79egalxJkuY/4EawqdWUA,CE/72uy8nkGLiZAVDar6aQ,,,N,0,0,,,2023-02-08 18:30,2023-02-08 18:31,NotPrmUser,NotPrmUser,
141174,27164,54786,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,DES1080,60% Review (check env reviews at 30 and 60),,600,0,80,0,0,0,80,0,0,0,,,,2024-09-05 08:00,2024-09-18 16:00,,2024-05-23 08:00,2024-06-05 16:00,2024-05-23 08:00,2024-06-05 16:00,2024-05-23 08:00,2024-06-05 16:00,2024-09-05 08:00,2024-09-18 16:00,,PT_Normal,,,,,GILGRV1ZekK01ZrkTfAJsQ,DCJwPZ3pzEyb//dCGK++bQ,,,N,0,0,,,2023-02-08 18:30,2023-02-08 18:31,NotPrmUser,NotPrmUser,
141175,27164,54786,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,DES1090,90% Submittal,,600,0,360,0,0,0,360,0,0,0,,,,2024-09-19 08:00,2024-11-20 16:00,,2024-06-06 08:00,2024-08-07 16:00,2024-06-06 08:00,2024-08-07 16:00,2024-06-06 08:00,2024-08-07 16:00,2024-09-19 08:00,2024-11-20 16:00,,PT_Normal,,,,,swia9onImE20l/KUkPnizA,C2FOBsWNhkC2yDZp5ophyg,,,N,0,0,,,2023-02-08 18:30,2023-02-08 18:31,NotPrmUser,NotPrmUser,
141176,27164,54786,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,DES1100,90% Review - 20 days review,,600,0,80,0,0,0,80,0,0,0,,,,2024-11-21 08:00,2024-12-04 16:00,,2024-08-08 08:00,2024-08-21 16:00,2024-08-08 08:00,2024-08-21 16:00,2024-08-08 08:00,2024-08-21 16:00,2024-11-21 08:00,2024-12-04 16:00,,PT_Normal,,,,,dG7od/hmzUSLyk/tSj6UUw,oUOWVLVkj0qmk6bbY3JOXQ,,,N,0,0,,,2023-02-08 18:30,2023-02-08 18:31,NotPrmUser,NotPrmUser,
141177,27164,54786,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,DES1110,100% Submittal,,680,0,160,0,0,0,160,0,0,0,,,,2024-12-19 08:00,2025-01-15 16:00,,2024-08-22 08:00,2024-09-18 16:00,2024-08-22 08:00,2024-09-18 16:00,2024-08-22 08:00,2024-09-18 16:00,2024-12-19 08:00,2025-01-15 16:00,,PT_Normal,,,,,3Bek8gSCzkSpYdNZIMLs8A,057QYhYmf029ZDEs4064Dg,,,N,0,0,,,2023-02-08 18:30,2023-02-08 18:31,NotPrmUser,NotPrmUser,
141178,27164,54786,178,0,N,1,N,N,CP_Drtn,TT_Task,DT_FixedDUR2,TK_NotStart,DES1120,Issue IFC Design Package,,680,680,80,0,0,0,80,0,0,0,,,,2025-01-16 08:00,2025-01-29 16:00,,2024-09-19 08:00,2024-10-02 16:00,2024-09-19 08:00,2024-10-02 16:00,2024-09-19 08:00,2024-10-02 16:00,2025-01-16 08:00,2025-01-29 16:00,,PT_Normal,,,,,Vpc3ATyp9Ui9UxajcxgAUA,mvhJnQnDuUim7+7D4BMMFQ,,,N,0,0,,,2023-02-08 18:30,2023-02-08 18:31,NotPrmUser,NotPrmUser,
